scenario,ward_code,baseline_pressure,scenario_pressure,pressure_change,healthcare_change,education_change,sanitation_change,safety_change,transport_change,civic_change,green_space_change
public_toilet_capacity_plus_20,RN,38.31462921136834,38.31462921136834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public_toilet_capacity_plus_20,KW,67.674807076981,67.674807076981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public_toilet_capacity_plus_20,A,41.607456553108726,41.607456553108726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public_toilet_capacity_plus_20,C,55.249309868875095,55.249309868875095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public_toilet_capacity_plus_20,D,48.277809147374356,48.277809147374356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public_toilet_capacity_plus_20,FS,46.701879038835564,46.701879038835564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
green_space_plus_20,GS,49.88785369220152,49.88785369220152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
green_space_plus_20,FN,46.46562676453981,46.46562676453981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
green_space_plus_20,MW,47.384559884559884,47.384559884559884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
green_space_plus_20,HW,39.85154338415208,39.85154338415208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
green_space_plus_20,GN,60.0108225108225,60.0108225108225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
green_space_plus_20,ME,54.535651546521116,54.535651546521116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
green_space_plus_20,E,49.29810527636615,49.29810527636615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
green_space_plus_20,HE,55.87434908087083,55.87434908087083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
green_space_plus_20,RS,52.400166258861915,52.400166258861915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
green_space_plus_20,T,41.95703149507498,41.95703149507498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
green_space_plus_20,N,64.6111738503043,64.6111738503043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
green_space_plus_20,PS,53.70357299705126,53.70357299705126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
green_space_plus_20,PN,60.20374552983248,60.20374552983248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
green_space_plus_20,B,60.14943691574127,60.14943691574127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
green_space_plus_20,RC,49.181253529079605,49.181253529079605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
green_space_plus_20,KE,41.87841144362883,41.87841144362883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
green_space_plus_20,L,50.741890959282266,50.741890959282266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
green_space_plus_20,S,48.925983436853,48.925983436853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
green_space_plus_20,RN,38.31462921136834,38.31462921136834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
green_space_plus_20,KW,67.674807076981,67.674807076981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
green_space_plus_20,A,41.607456553108726,41.607456553108726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
green_space_plus_20,C,55.249309868875095,55.249309868875095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
green_space_plus_20,D,48.277809147374356,48.277809147374356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
green_space_plus_20,FS,46.701879038835564,46.701879038835564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public_transport_plus_20,GS,49.88785369220152,49.88785369220152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public_transport_plus_20,FN,46.46562676453981,46.46562676453981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public_transport_plus_20,MW,47.384559884559884,47.384559884559884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public_transport_plus_20,HW,39.85154338415208,39.85154338415208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public_transport_plus_20,GN,60.0108225108225,60.0108225108225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public_transport_plus_20,ME,54.535651546521116,54.535651546521116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public_transport_plus_20,E,49.29810527636615,49.29810527636615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public_transport_plus_20,HE,55.87434908087083,55.87434908087083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public_transport_plus_20,RS,52.400166258861915,52.400166258861915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public_transport_plus_20,T,41.95703149507498,41.95703149507498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public_transport_plus_20,N,64.6111738503043,64.6111738503043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public_transport_plus_20,PS,53.70357299705126,53.70357299705126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public_transport_plus_20,PN,60.20374552983248,60.20374552983248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public_transport_plus_20,B,60.14943691574127,60.14943691574127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public_transport_plus_20,RC,49.181253529079605,49.181253529079605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public_transport_plus_20,KE,41.87841144362883,41.87841144362883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public_transport_plus_20,L,50.741890959282266,50.741890959282266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public_transport_plus_20,S,48.925983436853,48.925983436853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public_transport_plus_20,RN,38.31462921136834,38.31462921136834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public_transport_plus_20,KW,67.674807076981,67.674807076981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public_transport_plus_20,A,41.607456553108726,41.607456553108726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public_transport_plus_20,C,55.249309868875095,55.249309868875095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public_transport_plus_20,D,48.277809147374356,48.277809147374356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public_transport_plus_20,FS,46.701879038835564,46.701879038835564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resolution_time_minus_20,GS,49.88785369220152,49.88785369220152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resolution_time_minus_20,FN,46.46562676453981,46.46562676453981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resolution_time_minus_20,MW,47.384559884559884,47.384559884559884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resolution_time_minus_20,HW,39.85154338415208,39.85154338415208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resolution_time_minus_20,GN,60.0108225108225,60.0108225108225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resolution_time_minus_20,ME,54.535651546521116,54.535651546521116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resolution_time_minus_20,E,49.29810527636615,49.29810527636615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resolution_time_minus_20,HE,55.87434908087083,55.87434908087083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resolution_time_minus_20,RS,52.400166258861915,52.400166258861915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resolution_time_minus_20,T,41.95703149507498,41.95703149507498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resolution_time_minus_20,N,64.6111738503043,64.6111738503043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resolution_time_minus_20,PS,53.70357299705126,53.70357299705126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
